"Central do Frete", "Central do Frete"
"Active", "Habilitado"
"Is this method active?", "Este método está ativo?"
"Show in frontend", "Exibir na frente de loja"
"Is this method available on frontend?", "Este método está disponível para os consumidores?"
"Method name", "Nome do método"
"Inform the method name, visible to your customers", "Informe o nomedo método, visível para os consumidores"
"Carrier username", "Nome de usuário no método"
"Carrier secret", "Senha de usuário no método"
"Your access secret within Central do Frete", "Sua senha de acesso na Central do Frete"
"Your username within Central do Frete", "Seu nome de usuário na Central do Frete"
"Carrier token", "Token no método"
"Environment", "Ambiente"
"Define the environment to be used", "Ambiente a ser utilizado"
"Test", "Teste"
"Production", "Produção"
"Your access token within Central do Frete", "Seu token de acesso na Central do Frete"
"Freight Type", "Tipo de Frete"
"Select the freight type to be used on quotes", "Selecione o tipo de frete a ser usado nas cotações"
"Minimum order value", "Valor mínimo de pedido"
"Minimum order value to trigger this method", "Valor mínimo de pedido para habilitar esse método"
"Maximum order value", "Valor máximo de pedido"
"Maximum order value to trigger this method", "Valor máximo de pedido para habilitar esse método"
"Minimum order weight", "Peso mínimo de pedido"
"Minimum order weight to trigger this method", "Peso mínimo de pedido para habilitar esse método"
"Maximum order weight", "Peso máximo de pedido"
"Maximum order weight to trigger this method", "Peso máximo de pedido para habilitar esse método"
"Validate dimensions", "Validar dimensões"
"Validate dimensions when getting the quote?", "Validar dimensões ao obter a cotação?"
"Standard length (cm)", "Comprimento padrão (cm)"
"Standard length to be used when product length is not defined, always in centimeters", "Comprimento padrão a ser usado quando o comprimento do produto não estiver definido, sempre em centímetros"
"Standard width (cm)", "Largura padrão (cm)"
"Standard width to be used when product width is not defined, always in centimeters", "Largura padrão a ser usada quando a largura do produto não estiver definida, sempre em centímetros"
"Standard height (cm)", "Altura padrão (cm)"
"Standard height to be used when product height is not defined, always in centimeters", "Altura padrão a ser usada quando a largura do produto não estiver definida, sempre em centímetros"
"Length attribute", "Atributo para o comprimento"
"Choose the attribute to be used to get product length", "Escolha o atributo que será usado para obter o comprimento do produto"
"Width attribute", "Atributo para a largura"
"Choose the attribute to be used to get product width", "Escolha o atributo que será usado para obter a largura do produto"
"Height attribute", "Atributo para a altura"
"Choose the attribute to be used to get product height", "Escolha o atributo que será usado para obter a altura do produto"
"Show days to delivery", "Exibir prazo de entrega"
"Show estimate days to deliver an order?", "Exibir o prazo de entrega estimado?"
"Add days to delivery", "Adicionar dias ao prazo de entrega"
"Add extra days to the estimated delivery? 0 means no extra days", "Adicionar dias extras ao prazo de entrega estimado? 0 significa não adicionar"
"Add extra rate to quote", "Adicionar taxa extra à cotação"
"Add extra rate to a quote? 0 means no extra rate", "Adicionar um valor extra à cotação. 0 significa não adicionar"
"Show method if not applicable", "Exibir método se não disponível"
"Show this method to the customer even if it is not applicable?", "Exibir método aos consumidores mesmo que não esteja disponível?"
"Sort order", "Ordem de exibição"
"Inform the order which a method will be shown", "Informa a posição na qual o método será exibido"
"No attribute selected", "Nenhum atributo selecionado"
"Estimate Shipping", "Calcular Frete"
"Postcode", "CEP"
"Quote", "Cotar"
"Show estimate box on product page", "Exibir caixa de cotação na página do produto"
"Show a box to get estimates on product page?", "Exibir uma caixa de cotação na página do produto?"
"Load module CSS", "Carregar CSS"
"Load module original CSS. If you use your custom CSS, you can disable this and save resources", "Carrega o CSS original do módulo. Se você utiliza seu próprio CSS, pode desabilitar isso para economizar recursos"
"Load jQuery", "Carregar jQuery"
"If your theme is already using jQuery, set this to No.", "Se seu tema já utiliza o jQuery, selecione Não."
"Weight unit", "Unidade de peso"
"Define the weight unit for your store", "Defina a unidade a ser usada para o peso em sua loja"
"Dimension unit", "Unidade de dimensão"
"Define the dimension unit for your store, which is used on custom product attributes", "Defina a unidade a ser usada para as dimensões em seus atributos personalizados nos produtos"
"Kilos", "Quilos"
"Grams", "Gramas"
"g", "g"
"kg", "kg"
"centimeters", "centímetros"
"milimeters", "milímetros"
"meters", "metros"
"Estimate delivery message", "Mensagem para o prazo de entrega"
"The message to be displayed along estimate days. The tag %d will be replaced by the number of days returned by the server", "Mensagem a ser exibida informando o número de dias para entrega. A tag %d será substiuída pelo número de dias informado pelo servidor"
